ItemId,LeadTimeMinutes
1,33,60
2,38,60
3,43,60
4,48,60
5,53,60
6,58,60
7,63,60
8,68,60
9,73,60
10,78,60
11,83,60
12,88,60
13,93,60
14,98,60
15,103,60
16,108,60
17,113,60
18,118,60
19,123,60
20,128,60
